Mätobjekt;date2;Värde [L/min];E04-02;;;date3;;E04-03;;;date4;;E04-04;;;date5;;E04-05;;;date6;;E04-06;;;date7;;E04-07;;;date8;;E04-08
E04-02;2020-08-24;1.06;1.53;;E04-03;2020-08-24;1.32;1.9;;E04-04;2020-10-05;3.3;4.75;;E04-05;2020-11-30;12.77;18.39;;E04-06;2021-02-08;3.27;4.71;;;;;;;;;;
E04-02;2020-09-07;1.05;1.51;;E04-03;2020-09-07;1.29;1.86;;E04-04;2020-10-19;3.52;5.07;;E04-05;2020-12-14;14.13;20.35;;E04-06;2021-01-22;0.85;1.22;;;;;;;;;;
E04-02;2020-09-21;1.2;1.73;;E04-03;2020-09-21;1.1;1.58;;E04-04;2020-11-02;4.06;5.85;;E04-05;2021-01-05;14.45;20.81;;;;;;;;;;;;;;;
E04-02;2020-10-05;4;5.76;;E04-03;2020-10-05;0;0;;E04-04;2020-11-23;4.55;6.55;;E04-05;2021-01-11;14.33;20.64;;;;;;;;;;;;;;;
E04-02;2020-10-19;1.35;1.94;;E04-03;2020-10-19;1.43;2.06;;E04-04;2020-11-30;4.55;6.55;;E04-05;2021-01-25;15.62;22.49;;;;;;;;;;;;;;;
E04-02;2020-11-02;0.9;1.3;;E04-03;2020-11-02;1.65;2.38;;E04-04;2020-12-14;4.78;6.88;;E04-05;2021-02-08;13.38;19.27;;;;;;;;;;;;;;;
E04-02;2020-11-23;2.06;2.97;;E04-03;2020-11-23;1.68;2.42;;E04-04;2021-01-05;5.38;7.75;;E04-05;2021-01-22;14.52;20.91;;;;;;;;;;;;;;;
E04-02;2020-11-30;0.6;0.86;;E04-03;2020-11-30;1.78;2.56;;E04-04;2021-01-11;5.88;8.47;;;;;;;;;;;;;;;;;;;;
E04-02;2020-12-14;0.63;0.91;;E04-03;2020-12-14;1.58;2.28;;E04-04;2021-01-25;6.57;9.46;;;;;;;;;;;;;;;;;;;;
E04-02;2021-01-05;0.7;1.01;;E04-03;2021-01-05;1.87;2.69;;E04-04;2021-02-08;6.4;9.22;;;;;;;;;;;;;;;;;;;;
E04-02;2021-01-11;0.79;1.14;;E04-03;2021-01-11;1.81;2.61;;E04-04;2021-01-22;6.15;8.86;;;;;;;;;;;;;;;;;;;;
E04-02;2021-01-25;0.73;1.05;;E04-03;2021-01-25;2.28;3.28;;;;;;;;;;;;;;;;;;;;;;;;;
E04-02;2021-02-08;2.38;3.43;;E04-03;2021-02-08;1.52;2.19;;;;;;;;;;;;;;;;;;;;;;;;;
E04-02;2021-01-22;0.8;1.15;;E04-03;2021-01-22;1.95;2.81;;;;;;;;;;;;;;;;;;;;;;;;;
