"Date";"ID";"Value"
"2018-10-24";"obj_30";NA
"2018-10-25";"obj_30";NA
"2018-10-26";"obj_30";NA
"2018-10-27";"obj_30";NA
"2018-10-28";"obj_30";NA
"2018-10-29";"obj_30";"16,8200000000000"
"2018-10-30";"obj_30";NA
"2018-10-31";"obj_30";NA
"2018-11-01";"obj_30";NA
"2018-11-02";"obj_30";NA
"2018-11-03";"obj_30";NA
"2018-11-04";"obj_30";NA
"2018-11-05";"obj_30";"16,8300000000000"
"2018-11-06";"obj_30";NA
"2018-11-07";"obj_30";NA
"2018-11-08";"obj_30";NA
"2018-11-09";"obj_30";NA
"2018-11-10";"obj_30";NA
"2018-11-11";"obj_30";NA
"2018-11-12";"obj_30";"16,8500000000000"
"2018-11-13";"obj_30";NA
"2018-11-14";"obj_30";NA
"2018-11-15";"obj_30";NA
"2018-11-16";"obj_30";NA
"2018-11-17";"obj_30";NA
"2018-11-18";"obj_30";NA
"2018-11-19";"obj_30";"16,8700000000000"
"2018-11-20";"obj_30";NA
"2018-11-21";"obj_30";NA
"2018-11-22";"obj_30";"16,8700000000000"
"2018-11-23";"obj_30";NA
"2018-11-24";"obj_30";NA
"2018-11-25";"obj_30";NA
"2018-11-26";"obj_30";NA
"2018-11-27";"obj_30";"16,8900000000000"
"2018-11-28";"obj_30";NA
"2018-11-29";"obj_30";NA
"2018-11-30";"obj_30";NA
"2018-12-01";"obj_30";NA
"2018-12-02";"obj_30";NA
"2018-12-03";"obj_30";NA
"2018-12-04";"obj_30";"16,9100000000000"
"2018-12-05";"obj_30";NA
"2018-12-06";"obj_30";NA
"2018-12-07";"obj_30";NA
"2018-12-08";"obj_30";NA
"2018-12-09";"obj_30";NA
"2018-12-10";"obj_30";"16,9300000000000"
"2018-12-11";"obj_30";NA
"2018-12-12";"obj_30";NA
"2018-12-13";"obj_30";NA
"2018-12-14";"obj_30";NA
"2018-12-15";"obj_30";NA
"2018-12-16";"obj_30";NA
"2018-12-17";"obj_30";"16,9800000000000"
"2018-12-18";"obj_30";"16,9800000000000"
"2018-12-19";"obj_30";NA
"2018-12-20";"obj_30";NA
"2018-12-21";"obj_30";NA
"2018-12-22";"obj_30";NA
"2018-12-23";"obj_30";NA
"2018-12-24";"obj_30";NA
"2018-12-25";"obj_30";NA
"2018-12-26";"obj_30";NA
"2018-12-27";"obj_30";NA
"2018-12-28";"obj_30";NA
"2018-12-29";"obj_30";NA
"2018-12-30";"obj_30";NA
"2018-12-31";"obj_30";NA
"2019-01-01";"obj_30";NA
"2019-01-02";"obj_30";"17,0000000000000"
"2019-01-03";"obj_30";NA
"2019-01-04";"obj_30";NA
"2019-01-05";"obj_30";NA
"2019-01-06";"obj_30";NA
"2019-01-07";"obj_30";NA
"2019-01-08";"obj_30";NA
"2019-01-09";"obj_30";"16,9800000000000"
"2019-01-10";"obj_30";NA
"2019-01-11";"obj_30";NA
"2019-01-12";"obj_30";NA
"2019-01-13";"obj_30";NA
"2019-01-14";"obj_30";NA
"2019-01-15";"obj_30";"16,9800000000000"
"2019-01-16";"obj_30";NA
"2019-01-17";"obj_30";NA
"2019-01-18";"obj_30";NA
"2019-01-19";"obj_30";NA
"2019-01-20";"obj_30";NA
"2019-01-21";"obj_30";NA
"2019-01-22";"obj_30";"17,0000000000000"
"2019-01-23";"obj_30";NA
"2019-01-24";"obj_30";"17,0000000000000"
"2019-01-25";"obj_30";NA
"2019-01-26";"obj_30";NA
"2019-01-27";"obj_30";NA
"2019-01-28";"obj_30";NA
"2019-01-29";"obj_30";"17,0100000000000"
"2019-01-30";"obj_30";NA
"2019-01-31";"obj_30";NA
"2019-02-01";"obj_30";NA
"2019-02-02";"obj_30";NA
"2019-02-03";"obj_30";NA
"2019-02-04";"obj_30";NA
"2019-02-05";"obj_30";"17,0300000000000"
"2019-02-06";"obj_30";NA
"2019-02-07";"obj_30";"17,0200000000000"
"2019-02-08";"obj_30";NA
"2019-02-09";"obj_30";NA
"2019-02-10";"obj_30";NA
"2019-02-11";"obj_30";NA
"2019-02-12";"obj_30";"17,0500000000000"
"2019-02-13";"obj_30";NA
"2019-02-14";"obj_30";NA
"2019-02-15";"obj_30";NA
"2019-02-16";"obj_30";NA
"2019-02-17";"obj_30";NA
"2019-02-18";"obj_30";"17,0800000000000"
"2019-02-19";"obj_30";"17,1100000000000"
"2019-02-20";"obj_30";"17,1100000000000"
"2019-02-21";"obj_30";NA
"2019-02-22";"obj_30";"17,1200000000000"
"2019-02-23";"obj_30";NA
"2019-02-24";"obj_30";NA
"2019-02-25";"obj_30";"17,1300000000000"
"2019-02-26";"obj_30";"17,1300000000000"
"2019-02-27";"obj_30";"17,1300000000000"
"2019-02-28";"obj_30";"17,1400000000000"
"2019-03-01";"obj_30";"17,1400000000000"
"2019-03-02";"obj_30";NA
"2019-03-03";"obj_30";NA
"2019-03-04";"obj_30";"17,1500000000000"
"2019-03-05";"obj_30";"17,1400000000000"
"2019-03-06";"obj_30";NA
"2019-03-07";"obj_30";"17,1600000000000"
"2019-03-08";"obj_30";NA
"2019-03-09";"obj_30";NA
"2019-03-10";"obj_30";NA
"2019-03-11";"obj_30";NA
"2019-03-12";"obj_30";"17,1450000000000"
"2019-03-13";"obj_30";NA
"2019-03-14";"obj_30";NA
"2019-03-15";"obj_30";NA
"2019-03-16";"obj_30";NA
"2019-03-17";"obj_30";NA
"2019-03-18";"obj_30";NA
"2019-03-19";"obj_30";"17,2100000000000"
"2019-03-20";"obj_30";NA
"2019-03-21";"obj_30";NA
"2019-03-22";"obj_30";"17,2200000000000"
"2019-03-23";"obj_30";NA
"2019-03-24";"obj_30";NA
"2019-03-25";"obj_30";NA
"2019-03-26";"obj_30";"17,2300000000000"
"2019-03-27";"obj_30";NA
"2019-03-28";"obj_30";NA
"2019-03-29";"obj_30";NA
"2019-03-30";"obj_30";NA
"2019-03-31";"obj_30";NA
"2019-04-01";"obj_30";NA
"2019-04-02";"obj_30";"17,2200000000000"
"2019-04-03";"obj_30";"17,2400000000000"
"2019-04-04";"obj_30";NA
"2019-04-05";"obj_30";NA
"2019-04-06";"obj_30";NA
"2019-04-07";"obj_30";NA
"2019-04-08";"obj_30";NA
"2019-04-09";"obj_30";"17,2000000000000"
"2019-04-10";"obj_30";NA
"2019-04-11";"obj_30";NA
"2019-04-12";"obj_30";NA
"2019-04-13";"obj_30";NA
"2019-04-14";"obj_30";NA
"2019-04-15";"obj_30";"17,1500000000000"
"2019-04-16";"obj_30";"17,1300000000000"
"2019-04-17";"obj_30";NA
"2019-04-18";"obj_30";NA
"2019-04-19";"obj_30";NA
"2019-04-20";"obj_30";NA
"2019-04-21";"obj_30";NA
"2019-04-22";"obj_30";NA
"2019-04-23";"obj_30";NA
"2019-04-24";"obj_30";"17,0700000000000"
"2019-04-25";"obj_30";NA
"2019-04-26";"obj_30";NA
"2019-04-27";"obj_30";NA
"2019-04-28";"obj_30";NA
"2019-04-29";"obj_30";"17,0300000000000"
"2019-04-30";"obj_30";NA
"2019-05-01";"obj_30";NA
"2019-05-02";"obj_30";NA
"2019-05-03";"obj_30";NA
"2019-05-04";"obj_30";NA
"2019-05-05";"obj_30";NA
"2019-05-06";"obj_30";NA
"2019-05-07";"obj_30";"17,0000000000000"
"2019-05-08";"obj_30";"17,0000000000000"
"2019-05-09";"obj_30";NA
"2019-05-10";"obj_30";NA
"2019-05-11";"obj_30";NA
"2019-05-12";"obj_30";NA
"2019-05-13";"obj_30";NA
"2019-05-14";"obj_30";NA
"2019-05-15";"obj_30";"16,9800000000000"
"2019-05-16";"obj_30";NA
"2019-05-17";"obj_30";NA
"2019-05-18";"obj_30";NA
"2019-05-19";"obj_30";NA
"2019-05-20";"obj_30";NA
"2019-05-21";"obj_30";NA
"2019-05-22";"obj_30";NA
"2019-05-23";"obj_30";"16,9600000000000"
"2019-05-24";"obj_30";NA
"2019-05-25";"obj_30";NA
"2019-05-26";"obj_30";NA
"2019-05-27";"obj_30";NA
"2019-05-28";"obj_30";"16,9600000000000"
"2019-05-29";"obj_30";NA
"2019-05-30";"obj_30";NA
"2019-05-31";"obj_30";NA
"2019-06-01";"obj_30";NA
"2019-06-02";"obj_30";NA
"2019-06-03";"obj_30";"16,9700000000000"
"2019-06-04";"obj_30";"16,9600000000000"
"2019-06-05";"obj_30";NA
"2019-06-06";"obj_30";NA
"2019-06-07";"obj_30";NA
"2019-06-08";"obj_30";NA
"2019-06-09";"obj_30";NA
"2019-06-10";"obj_30";"16,9600000000000"
"2019-06-11";"obj_30";NA
"2019-06-12";"obj_30";"16,9600000000000"
"2019-06-13";"obj_30";NA
"2019-06-14";"obj_30";NA
"2019-06-15";"obj_30";NA
"2019-06-16";"obj_30";NA
"2019-06-17";"obj_30";NA
"2019-06-18";"obj_30";NA
"2019-06-19";"obj_30";"16,9600000000000"
"2019-06-20";"obj_30";NA
"2019-06-21";"obj_30";NA
"2019-06-22";"obj_30";NA
"2019-06-23";"obj_30";NA
"2019-06-24";"obj_30";NA
"2019-06-25";"obj_30";NA
"2019-06-26";"obj_30";"16,9500000000000"
"2019-06-27";"obj_30";NA
"2019-06-28";"obj_30";NA
"2019-06-29";"obj_30";NA
"2019-06-30";"obj_30";NA
"2019-07-01";"obj_30";NA
"2019-07-02";"obj_30";NA
"2019-07-03";"obj_30";"16,9200000000000"
"2019-07-04";"obj_30";NA
"2019-07-05";"obj_30";NA
"2019-07-06";"obj_30";NA
"2019-07-07";"obj_30";NA
"2019-07-08";"obj_30";"16,8800000000000"
"2019-07-09";"obj_30";NA
"2019-07-10";"obj_30";"16,8600000000000"
"2019-07-11";"obj_30";NA
"2019-07-12";"obj_30";NA
"2019-07-13";"obj_30";NA
"2019-07-14";"obj_30";NA
"2019-07-15";"obj_30";NA
"2019-07-16";"obj_30";"16,8100000000000"
"2019-07-17";"obj_30";NA
"2019-07-18";"obj_30";NA
"2019-07-19";"obj_30";NA
"2019-07-20";"obj_30";NA
"2019-07-21";"obj_30";NA
"2019-07-22";"obj_30";NA
"2019-07-23";"obj_30";NA
"2019-07-24";"obj_30";NA
"2019-07-25";"obj_30";"16,7200000000000"
"2019-07-26";"obj_30";NA
"2019-07-27";"obj_30";NA
