,Penman,FAO-56,Priestley-Taylor,Kimberly-Penman,Thom-Oliver,Blaney-Criddle,Hamon,Romanenko,Linacre,Haude,Turc,Jensen-Haise,Mcguinness-Bordne,Hargreaves,FAO-24,Abtew,Makkink,Oudin
1996-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.12569587821310887,0.026819280000000025,0.0,0.011810911892032316,0.0,0.0,0.0,0.058643188848911,0.0,0.1758925592584039,0.0676517986017612,0.0
1996-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.09843565149031488,0.01623242322580628,0.0,0.01060110591913352,0.0,0.0,0.0,0.05455073739977536,0.0,0.2858064246730111,0.08975955729338606,0.0
1996-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.08678483386343672,0.011579225806451484,0.0,0.007282904463401769,0.0,0.0,0.0,0.03179454335251596,0.0,0.2569313953249317,0.07166177997383007,0.0
1996-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.09336589445403208,0.013087741935483878,0.0,0.007989141210851793,0.0,0.0,0.0,0.041198645705710205,0.0,0.18634737003313454,0.05490266977733589,0.0
1996-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.07058793092969436,0.005624640000000001,0.0,0.0065901955983804,22.04066383108573,0.0,0.0,0.01731637875730648,0.0,0.2237968671994053,0.05033584587763183,0.0
1996-01-06,0.025585434638094838,0.024448276787555394,0.02805199682882517,0.023128572122955438,0.02514786794033867,0.0,0.13703052830477977,0.02481233806451613,0.34018762859643714,0.012704007272864104,0.0,0.0,0.0,0.1352868855512816,0.0,0.14097752528053809,0.055488830386996715,0.0
1996-01-07,0.0,0.009046322474634081,0.0,0.0,0.0016887730256526148,0.0,0.1801035428090612,0.03545187096774192,0.3331826368337667,0.01359284181780618,0.0,0.00561565031971018,0.0770364478752364,0.057720185377095175,0.0,0.05952589338892791,0.028052265313629615,0.05240574685390232
1996-01-08,0.0,0.014685871455301935,0.0,0.0,0.006290746706150103,0.0,0.18597560266102636,0.035315111612903675,0.36753103894194555,0.013208138747490696,0.0,0.007841119944449342,0.08451856241755133,0.040734827615255174,0.0,0.07227467079231568,0.03446915262540054,0.0574956206922118
1996-01-09,0.006996125808153922,0.012491628068549268,0.0020894146082062032,0.0034423025240432853,0.011940319763359708,0.0,0.1981899642543097,0.03658122580645208,0.46515938506668436,0.014299312441698065,0.005257912709933775,0.014369689197768732,0.10243332399377832,0.07955172840595666,0.0,0.09827013257828938,0.04835350773022076,0.0696825333291009
1996-01-10,0.009106246859951986,0.018461894159336092,0.002215193416923922,0.005042609708171116,0.013539679890743268,0.0,0.21000573746796564,0.03749056258064511,0.5611213527527086,0.013870333068446662,0.0401940790278481,0.017612421568115898,0.11911372958747925,0.04226124404195466,0.0,0.09825877295896239,0.04965227703385323,0.08102974801869336
