distance;17U;03U
E04-02;248.483327857594;311.10196
E04-03;249.990352260219;238.7633
E04-04;270.951298618762;174.1959
E04-05;323.212469164167;135.0453
E04-06;389.672175325906;124.7947
E04-07;476.912254217948;230.2901
E04-08;603.052599881031;380.1066
